Flight No.,"Date and
time (UTC)","Version,
booster","Launch
site",Payload,Payload mass,Orbit,Customer,"Launch
outcome","Booster
landing"
198,"19 January 2023
15:43","F9 B5
B1075.1","Vandenberg, SLC‑4E",Starlink: Group 2-4 (51 satellites),"15,000 kg (33,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
198,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.
199,"26 January 2023
09:32","F9 B5
B1067.9","Cape Canaveral, SLC‑40",Starlink: Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
199,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.
200,"31 January 2023
16:15","F9 B5
B1071.7","Vandenberg, SLC‑4E",Starlink: Group 2-6 (49 satellites),"~15,200 kg (33,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
200,"31 January 2023
16:15","F9 B5
B1071.7","Vandenberg, SLC‑4E",ION SCV009,"~15,200 kg (33,500 lb)",LEO,D-Orbit,Success,Success (OCISLY)
200,"Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena."""
201,"2 February 2023
07:58","F9 B5
B1069.5","Kennedy, LC‑39A",Starlink: Group 5-3 (53 satellites),"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG)
201,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
202,"7 February 2023
01:32","F9 B5
B1073.6","Cape Canaveral, SLC‑40",Amazonas Nexus,"4,146 kg (9,140 lb)",GTO,Hispasat,Success,Success (JRTI)
202,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.,A high-throughput telecommunications satellite. Hosted payloads included USSF Pathfinder 2 and Tele Greenland A/S's GreenSat.
203,"12 February 2023
05:10","F9 B5
B1062.12","Cape Canaveral, SLC‑40",Starlink: Group 5-4 (55 satellites),"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
203,"Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40."
204,"17 February 2023
19:12","F9 B5
B1063.9","Vandenberg, SLC‑4E",Starlink: Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY)
204,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.
205,"18 February 2023
03:59","F9 B5
B1077.3","Cape Canaveral, SLC‑40",Inmarsat-6 F2,"5,470 kg (12,060 lb)",GTO,Inmarsat,Success,Success (JRTI)
205,"Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.","Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017. This option could be used for launching Inmarsat-6B. In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket. The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°."
